Barcelona,Total ,
2020M11,100.066,
2020M10,145.698,
2020M09,180.929,
2020M08,252.915,
2020M07,206.830,
2020M06,48.867,
2020M05,.,
2020M04,0,
2020M03,..,
2020M02,792.665,
2020M01,768.453,
2019M12,804.389,
2019M11,903.909,
2019M10,1.183.573,
2019M09,1.168.716,
2019M08,1.284.916,
2019M07,1.328.095,
2019M06,1.274.805,
2019M05,1.230.382,
2019M04,1.109.962,
2019M03,961.604,
2019M02,814.340,
2019M01,746.797,
2018M12,779.906,
2018M11,868.492,
2018M10,1.133.840,
2018M09,1.165.130,
2018M08,1.233.114,
2018M07,1.276.405,
2018M06,1.227.638,
2018M05,1.184.359,
2018M04,1.033.594,
2018M03,922.330,
2018M02,755.389,
2018M01,699.330,
2017M12,696.256,
2017M11,761.807,
2017M10,1.051.127,
2017M09,1.160.933,
2017M08,1.208.097,
2017M07,1.323.082,
2017M06,1.208.727,
2017M05,1.181.228,
2017M04,1.098.098,
2017M03,934.431,
2017M02,749.671,
2017M01,692.906,
2016M12,722.456,
2016M11,783.446,
2016M10,1.096.200,
2016M09,1.126.955,
2016M08,1.228.791,
2016M07,1.287.518,
2016M06,1.148.328,
2016M05,1.140.065,
2016M04,978.140,
2016M03,871.676,
2016M02,712.090,
2016M01,613.743,
2015M12,645.741,
2015M11,733.175,
2015M10,1.027.565,
2015M09,1.021.478,
2015M08,1.176.586,
2015M07,1.118.099,
2015M06,1.067.758,
2015M05,1.095.797,
2015M04,921.278,
2015M03,779.208,
2015M02,615.559,
2015M01,549.585,
2014M12,657.157,
2014M11,673.995,
2014M10,984.372,
2014M09,1.008.077,
2014M08,1.154.639,
2014M07,1.131.061,
2014M06,1.040.837,
2014M05,1.004.998,
2014M04,858.259,
2014M03,766.123,
2014M02,575.616,
2014M01,497.859,
2013M12,596.827,
2013M11,672.664,
2013M10,957.004,
2013M09,947.906,
2013M08,1.095.881,
2013M07,1.083.765,
2013M06,975.990,
2013M05,967.575,
2013M04,805.057,
2013M03,727.579,
2013M02,554.600,
2013M01,481.635,
2012M12,516.840,
2012M11,632.793,
2012M10,908.110,
2012M09,974.972,
2012M08,1.042.678,
2012M07,1.109.352,
2012M06,970.335,
2012M05,925.844,
2012M04,879.564,
2012M03,767.190,
2012M02,609.687,
2012M01,518.023,
2011M12,554.677,
2011M11,633.335,
2011M10,946.373,
2011M09,974.943,
2011M08,1.092.644,
2011M07,1.152.273,
2011M06,1.012.693,
2011M05,971.167,
2011M04,863.034,
2011M03,720.600,
2011M02,592.463,
2011M01,490.903,
2010M12,559.501,
2010M11,642.916,
2010M10,927.468,
2010M09,901.778,
2010M08,1.014.883,
2010M07,1.056.522,
2010M06,907.299,
2010M05,941.025,
2010M04,790.603,
2010M03,686.386,
2010M02,551.210,
2010M01,467.777,
