"Temps","Destinació principal","País de residència",Mètriques,Valors,estatus,Dada provisional,
"10/2020","Catalunya","Alemanya","Turistes (milers)","7","","p"
"10/2020","Catalunya","Bèlgica","Turistes (milers)","1","(*) ","p"
"10/2020","Catalunya","França","Turistes (milers)","137.5","","p"
"10/2020","Catalunya","Irlanda","Turistes (milers)","0.7","","p"
"10/2020","Catalunya","Itàlia","Turistes (milers)","10.7","","p"
"10/2020","Catalunya","Països Baixos","Turistes (milers)","3.6","","p"
"10/2020","Catalunya","Països nòrdics","Turistes (milers)","2.1","","p"
"10/2020","Catalunya","Portugal","Turistes (milers)","1.8","","p"
"10/2020","Catalunya","Regne Unit","Turistes (milers)","9.7","","p"
"10/2020","Catalunya","Rússia","Turistes (milers)",:,"(u) ","p"
"10/2020","Catalunya","Suïssa","Turistes (milers)","2.4","","p"
"10/2020","Catalunya","Resta d'Europa","Turistes (milers)","37.9","","p"
"10/2020","Catalunya","Estats Units","Turistes (milers)","2.1","","p"
"10/2020","Catalunya","Resta d'Amèrica","Turistes (milers)","7.7","","p"
"10/2020","Catalunya","Resta del món","Turistes (milers)","6.2","","p"
"10/2020","Catalunya","Total","Turistes (milers)","230.6","","p"
"09/2020","Catalunya","Alemanya","Turistes (milers)","14","","p"
"09/2020","Catalunya","Bèlgica","Turistes (milers)","4.5","","p"
"09/2020","Catalunya","França","Turistes (milers)","123.1","","p"
"09/2020","Catalunya","Irlanda","Turistes (milers)","1.7","","p"
"09/2020","Catalunya","Itàlia","Turistes (milers)","18.2","","p"
"09/2020","Catalunya","Països Baixos","Turistes (milers)","7.8","","p"
"09/2020","Catalunya","Països nòrdics","Turistes (milers)","1.8","","p"
"09/2020","Catalunya","Portugal","Turistes (milers)","2.3","(*) ","p"
"09/2020","Catalunya","Regne Unit","Turistes (milers)","15.7","","p"
"09/2020","Catalunya","Rússia","Turistes (milers)","0.5","(*) ","p"
"09/2020","Catalunya","Suïssa","Turistes (milers)","3.3","","p"
"09/2020","Catalunya","Resta d'Europa","Turistes (milers)","66.1","","p"
"09/2020","Catalunya","Estats Units","Turistes (milers)","4.1","","p"
"09/2020","Catalunya","Resta d'Amèrica","Turistes (milers)","7.9","","p"
"09/2020","Catalunya","Resta del món","Turistes (milers)","5.1","","p"
"09/2020","Catalunya","Total","Turistes (milers)","276.1","","p"
"08/2020","Catalunya","Alemanya","Turistes (milers)","17.5","","p"
"08/2020","Catalunya","Bèlgica","Turistes (milers)","9.2","","p"
"08/2020","Catalunya","França","Turistes (milers)","253.6","","p"
"08/2020","Catalunya","Irlanda","Turistes (milers)","1.5","(*) ","p"
"08/2020","Catalunya","Itàlia","Turistes (milers)","13.7","","p"
"08/2020","Catalunya","Països Baixos","Turistes (milers)","16.9","","p"
"08/2020","Catalunya","Països nòrdics","Turistes (milers)","3.1","","p"
