Mes,visit barcelona: (Arreu del món)
2010-01,30
2010-02,50
2010-03,41
2010-04,60
2010-05,51
2010-06,61
2010-07,61
2010-08,35
2010-09,49
2010-10,21
2010-11,32
2010-12,14
2011-01,36
2011-02,47
2011-03,33
2011-04,45
2011-05,33
2011-06,59
2011-07,28
2011-08,44
2011-09,37
2011-10,43
2011-11,30
2011-12,30
2012-01,42
2012-02,39
2012-03,49
2012-04,63
2012-05,62
2012-06,46
2012-07,54
2012-08,47
2012-09,26
2012-10,35
2012-11,22
2012-12,29
2013-01,52
2013-02,30
2013-03,67
2013-04,53
2013-05,44
2013-06,59
2013-07,69
2013-08,42
2013-09,36
2013-10,47
2013-11,23
2013-12,38
2014-01,44
2014-02,49
2014-03,55
2014-04,50
2014-05,64
2014-06,45
2014-07,68
2014-08,73
2014-09,36
2014-10,65
2014-11,41
2014-12,47
2015-01,62
2015-02,40
2015-03,55
2015-04,87
2015-05,81
2015-06,100
2015-07,77
2015-08,66
2015-09,72
2015-10,55
2015-11,42
2015-12,32
2016-01,64
2016-02,40
2016-03,83
2016-04,62
2016-05,59
2016-06,53
2016-07,61
2016-08,72
2016-09,72
2016-10,50
2016-11,56
2016-12,64
2017-01,74
2017-02,84
2017-03,54
2017-04,82
2017-05,90
2017-06,68
2017-07,91
2017-08,93
2017-09,63
2017-10,66
2017-11,66
2017-12,38
2018-01,78
2018-02,78
2018-03,79
2018-04,62
2018-05,69
2018-06,67
2018-07,93
2018-08,73
2018-09,75
2018-10,64
2018-11,69
2018-12,58
2019-01,80
2019-02,69
2019-03,82
2019-04,79
2019-05,79
2019-06,79
2019-07,94
2019-08,91
2019-09,83
2019-10,75
2019-11,67
2019-12,65
2020-01,75
2020-02,82
2020-03,27
2020-04,14
2020-05,26
2020-06,24
2020-07,23
2020-08,23
2020-09,17
2020-10,9
2020-11,7
2020-12,8
