Mes,holiday barcelona: (Arreu del món)
2010-01,70
2010-02,100
2010-03,66
2010-04,58
2010-05,79
2010-06,86
2010-07,76
2010-08,73
2010-09,71
2010-10,58
2010-11,55
2010-12,49
2011-01,77
2011-02,69
2011-03,66
2011-04,73
2011-05,68
2011-06,68
2011-07,68
2011-08,71
2011-09,78
2011-10,37
2011-11,24
2011-12,42
2012-01,81
2012-02,43
2012-03,76
2012-04,77
2012-05,76
2012-06,92
2012-07,77
2012-08,59
2012-09,55
2012-10,39
2012-11,25
2012-12,29
2013-01,65
2013-02,59
2013-03,52
2013-04,78
2013-05,91
2013-06,91
2013-07,90
2013-08,64
2013-09,56
2013-10,41
2013-11,34
2013-12,34
2014-01,75
2014-02,76
2014-03,52
2014-04,72
2014-05,90
2014-06,66
2014-07,82
2014-08,69
2014-09,60
2014-10,34
2014-11,28
2014-12,31
2015-01,56
2015-02,67
2015-03,56
2015-04,63
2015-05,72
2015-06,74
2015-07,92
2015-08,77
2015-09,63
2015-10,55
2015-11,24
2015-12,31
2016-01,89
2016-02,60
2016-03,62
2016-04,64
2016-05,80
2016-06,71
2016-07,84
2016-08,69
2016-09,57
2016-10,50
2016-11,33
2016-12,34
2017-01,62
2017-02,71
2017-03,64
2017-04,64
2017-05,67
2017-06,62
2017-07,83
2017-08,69
2017-09,44
2017-10,36
2017-11,26
2017-12,33
2018-01,64
2018-02,43
2018-03,58
2018-04,77
2018-05,61
2018-06,53
2018-07,63
2018-08,62
2018-09,48
2018-10,38
2018-11,33
2018-12,29
2019-01,63
2019-02,44
2019-03,50
2019-04,43
2019-05,39
2019-06,66
2019-07,56
2019-08,61
2019-09,55
2019-10,42
2019-11,27
2019-12,36
2020-01,63
2020-02,55
2020-03,15
2020-04,6
2020-05,11
2020-06,14
2020-07,20
2020-08,13
2020-09,10
2020-10,12
2020-11,10
2020-12,16
